"Word","Age_Of_Acquisition","LgSUBTLCD","NPhon"
"camel",5.11,2.143,4
"ruler",5.94,2.143,4
"chimney",6.58,2.146,5
"coconut",6.5,2.149,7
"submarine",7.94,2.149,8
"chalk",4.47,2.158,3
"sushi",11.19,2.161,4
"bricks",6.43,2.176,5
"mop",5.11,2.182,3
"axe",6.11,2.185,3
"onion",6.05,2.185,5
"grenade",9.72,2.19,6
"marble",7.05,2.19,5
"gorilla",5.74,2.196,6
"ribbon",5.25,2.196,5
"stool",6.21,2.196,4
"mailbox",6.11,2.201,7
"dresser",4.28,2.204,5
"diaper",3.4,2.207,4
"marker",4.89,2.207,5
"cane",5.74,2.212,3
"donkey",6,2.212,5
"doughnut",5.42,2.212,5
"peas",3.95,2.215,3
"microwave",7.67,2.22,8
"scarf",5.68,2.22,5
"squirrel",4.44,2.22,7
"mummy",5.47,2.223,4
"strawberry",4.21,2.223,8
"microphone",6.25,2.233,8
"crackers",4.9,2.236,6
"daisy",5.55,2.253,4
"broom",5.5,2.255,4
"grill",6.53,2.26,4
"pigeon",6.21,2.26,5
"olive",6.68,2.265,4
"butterfly",3.67,2.272,7
"anchor",5.72,2.276,4
"crab",5.28,2.276,4
"fireplace",7.37,2.279,7
"mill",8.17,2.283,3
"garlic",6.89,2.286,6
"toothbrush",4.33,2.286,7
"bracelet",5.68,2.288,7
"spaghetti",4.33,2.29,7
"earrings",7.17,2.295,6
"arrow",6.07,2.297,3
"lobster",7.44,2.305,6
"cracker",4.9,2.308,5
"ginger",8.05,2.31,5
"wheat",6.53,2.31,4
"tomato",4.61,2.31,6
"scissors",4.5,2.318,5
"globe",6.5,2.32,4
"vacuum",6.74,2.32,6
"umbrella",5.68,2.322,7
"flashlight",5.61,2.324,7
"crib",6.05,2.328,4
"peach",4.21,2.328,3
"wheelchair",6.89,2.337,7
"leaf",4.6,2.338,3
"handcuffs",6.28,2.34,8
"comb",5.5,2.346,3
"ski",6.68,2.348,3
"bathtub",3.22,2.352,6
"trophy",5.55,2.354,5
"sausage",6.05,2.356,5
"sofa",4.5,2.356,4
"sponge",5,2.358,5
"calendar",5.89,2.362,7
"mattress",5.1,2.364,6
"feather",4.67,2.365,4
"spider",3.43,2.365,5
"fountain",7.17,2.377,5
"bicycle",4.26,2.38,6
"jeep",6.32,2.38,3
"jeans",5.26,2.387,4
"motorcycle",5.05,2.387,8
"deer",5.17,2.391,3
"shrimp",7.11,2.393,5
"straw",4.22,2.393,4
"bee",5,2.396,2
"puzzle",5.11,2.396,4
"elbow",4.78,2.398,4
"razor",7.11,2.403,4
"shovel",6.28,2.403,4
"brick",6.43,2.408,4
"cannon",7.9,2.408,5
"shield",6.5,2.41,4
"shark",5.47,2.413,4
"turtle",4.17,2.415,4
"balloon",4.37,2.418,5
"speaker",6.11,2.426,5
"balcony",8.1,2.428,7
"pepper",5.47,2.428,4
"drum",4.63,2.433,4
"spoon",2.5,2.433,4
"worm",3.89,2.435,3
"pumpkin",4.78,2.441,7
"eagle",5.83,2.447,3
"necklace",5,2.447,6
"stove",4.32,2.452,4
"rocket",5.63,2.461,5
"candle",5.37,2.465,5
"trailer",6.37,2.465,5
"dentist",5.22,2.47,7
"dice",6.37,2.471,3
"medal",6.83,2.473,4
"jar",5.44,2.474,3
"sock",2.94,2.481,3
"helmet",5.71,2.483,6
"popcorn",4.17,2.491,7
"ladder",4.399,2.497,4
"elephant",4.8,2.498,7
"refrigerator",4.11,2.498,11
"fork",3.63,2.501,4
"statue",7.55,2.502,5
"bartender",8.9,2.505,8
"banana",3.78,2.513,6
"cart",6.16,2.513,4
"envelope",6.25,2.514,7
"lion",4.42,2.517,4
"curtain",4.95,2.521,4
"lipstick",5.42,2.521,7
"guitar",5.32,2.534,5
"bench",4.21,2.535,4
"lemon",4.74,2.538,5
"airplane",3.94,2.55,6
"rug",4.61,2.55,3
"lighter",7.117,2.553,4
"shorts",3.95,2.553,5
"peanut",5,2.56,5
"crown",7.8,2.561,4
"pan",4.72,2.565,3
"suitcase",8.22,2.571,6
"barrel",7.72,2.573,5
"boot",3.89,2.574,3
"wolf",4.5,2.576,4
"cherry",5.58,2.578,4
"castle",5.8,2.583,4
"tire",6.16,2.584,3
"lamp",4,2.586,4
"potato",4.84,2.587,6
"skirt",5.67,2.587,4
"policeman",4.44,2.588,8
"toe",3,2.588,2
"cigar",7.67,2.589,5
"pill",6.06,2.589,3
"cloud",3.63,2.59,4
"pencil",4.06,2.593,5
"scale",8.85,2.593,4
"fridge",4.67,2.594,4
"sheep",4.25,2.594,3
"barn",4.5,2.598,4
"hammer",5.42,2.598,4
"bacon",5,2.602,5
"battery",5.58,2.602,6
"mouse",4.94,2.603,3
"fox",5.017,2.613,4
"basketball",5.3,2.624,9
"basket",5.67,2.632,6
"needle",5.32,2.636,4
"waiter",8.28,2.638,4
"tiger",4,2.645,4
"tent",5.16,2.649,4
"rabbit",3.94,2.651,5
"rice",3.72,2.651,3
"cookie",3.37,2.652,4
"helicopter",5.26,2.654,9
"pillow",3.47,2.657,4
"drawer",5.37,2.666,4
"sword",5.45,2.666,4
"drill",7.14,2.669,4
"sweater",5.22,2.669,5
"seal",5.42,2.675,3
"diamond",6.47,2.676,6
"mask",4.8,2.682,4
"locker",8.22,2.692,4
"flag",5.33,2.697,4
"soap",3.17,2.713,3
"priest",7.1,2.719,5
"snake",5.1,2.722,4
"knee",4.42,2.728,2
"tower",6.33,2.733,3
"nut",5.21,2.742,3
"fence",6.28,2.743,4
"bat",4.85,2.75,3
"slide",4.79,2.756,4
"piano",5.5,2.777,5
"bow",4.95,2.785,2
"salt",5.05,2.788,4
"cap",5.53,2.792,3
"iron",7.32,2.795,3
"flower",3.11,2.799,4
"bride",5.1,2.805,4
"painting",5.26,2.806,6
"baseball",4.83,2.807,6
"pipe",8.17,2.809,3
"sink",4.47,2.811,4
"doll",3.68,2.812,3
"rope",5.44,2.816,3
"bull",4.53,2.824,3
"butter",5.78,2.828,4
"purse",5.53,2.828,3
"tank",7.17,2.829,4
"wave",4.26,2.833,3
"bowl",4.26,2.834,3
"island",7.41,2.836,5
"orange",3.26,2.836,5
"apple",4.15,2.839,3
"wallet",5.89,2.839,5
"duck",3.5,2.848,3
"nail",5.42,2.852,3
"egg",3.89,2.861,2
"cow",3.94,2.863,2
"chain",5.22,2.869,3
"pot",5.95,2.883,3
"monkey",4.21,2.894,5
"pie",3.67,2.898,2
"couch",3.74,2.899,3
"football",4.84,2.907,6
"pen",5.11,2.912,3
"plant",3.95,2.92,5
"rose",6.11,2.92,3
"soldier",6.94,2.92,5
"belt",4.62,2.924,4
"pizza",4.67,2.925,5
"stairs",4.22,2.928,5
"wheel",4.4,2.93,4
"swing",4.16,2.933,4
"cigarette",6.39,2.935,7
"mirror",4.89,2.941,3
"mountain",6.15,2.947,5
"shoe",2.6,2.951,2
"button",4.78,2.955,4
"candy",4,2.956,5
"gate",5.32,2.956,3
"van",5.199,2.962,3
"plate",3.84,2.967,4
"toilet",3.54,2.98,5
"jacket",3.95,2.988,5
"bullet",6.7,3.003,5
"glasses",4.346,3.004,6
"paint",4.45,3.011,4
"bell",3.89,3.015,3
"bridge",5.58,3.02,4
"pig",3.84,3.024,3
"lips",3.79,3.025,4
"fan",5.63,3.041,3
"toast",4.67,3.043,4
"ear",3.63,3.044,2
"tongue",4.47,3.048,3
"cheese",4.33,3.054,3
"roof",5,3.06,3
"ship",5.33,3.066,3
"moon",4.83,3.067,3
"chest",5.05,3.071,4
"bird",3.52,3.078,3
"pool",5.15,3.079,3
"knife",4.15,3.099,3
"coat",3.58,3.105,3
"finger",3.43,3.11,5
"shower",4.72,3.114,3
"block",4.79,3.12,4
"church",5.15,3.127,3
"screw",6.65,3.127,4
"sea",4.74,3.132,2
"camera",6,3.142,5
"cat",3.68,3.142,3
"shirt",3.53,3.146,3
"keys",3.58,3.155,3
"boat",3.84,3.164,3
"tie",4.74,3.17,2
"tape",4.42,3.172,3
"bear",3.58,3.176,3
"wine",7.9,3.182,3
"bus",3.85,3.189,3
"chair",3.43,3.192,3
"truck",3.79,3.192,4
"match",5.72,3.193,3
"bottle",3.56,3.194,4
"cup",3.57,3.195,3
"chicken",3.26,3.196,5
"horse",4.15,3.198,4
"level",6,3.202,4
"tree",3.57,3.21,3
"radio",5.17,3.211,5
"clock",4.42,3.215,4
"cross",4.74,3.231,4
"fish",4.05,3.233,3
"hat",3.33,3.238,3
"train",4,3.246,4
"pants",3.227,3.248,5
"lock",5.74,3.271,3
"arm",3.26,3.289,3
"sun",3.4,3.292,3
"brain",5.76,3.3,4
"ball",2.9,3.316,3
"ring",4.53,3.317,3
"fly",3.05,3.326,3
"nose",2.95,3.328,3
"key",3.58,3.336,2
"dress",4.05,3.34,4
"tv",3.472211,3.354876423,4
"box",4.3,3.372,4
"window",4.74,3.388,5
"paper",4,3.42,4
"floor",4.44,3.437,4
"road",4.55,3.442,3
"table",4.39,3.461,4
"gun",5.58,3.474,3
"mouth",3.58,3.48,3
"eye",3.75,3.507,1
"book",3.68,3.511,3
"city",6.56,3.521,4
"safe",5.11,3.547,3
"bed",2.89,3.614,3
"bit",6.47,3.706,3
"car",3.37,3.712,3
"hand",2.74,3.745,4
"watch",4.33,3.77,3
"house",3.16,3.781,3
"saw",5.359,3.808,2
"well",6.158,3.911,3
"icecube",NA,1.964,6
"icepack",6.89,3.202,5
"lightbulb",5.89,2.173,7
"piggybank",5.508,2.086,8
"airhockeytable",7.785714286,2.387,10
"badmintonracket",7.518518519,1.204,14
"bandaid",4.601853,2.696,6
"baseballbat",4.214285714,2.75,9
"bedsidetable",5.333333333,1.987,10
"beerbottle",7.357142857,3.194,7
"birdfeeder",5.25,1.505,7
"birdsnest",4.25,2.566,8
"bottlecap",4.178571429,2.792,7
"bowlingball",5.535714286,2.439,8
"bowlingpin",5.642857143,2.439,8
"boxinggloves",7.830924,2.243,11
"brassknuckles",10.96153846,2.104,9
"brownsugar",5.785714286,3.06,8
"bumpercar",6.178571429,2.121,8
"candycane",3.214285714,2.212,8
"canopener",6.95705,2.017,8
"cashregister",4.785714286,2.627,10
"ceilingfan",6,2.545,8
"chefshat",6.153846154,2.509,7
"christmaslights",3.785714286,3.141,11
"christmastree",4.143602,3.141,10
"coffeebeans",7.666666667,2.632,8
"coffeemachine",5.892857143,3.274,9
"cookiecutter",4.75,1.857,8
"cruiseship",7.892857143,2.598,7
"discoball",9.642857143,2.188,8
"dreamcatcher",11.60714286,1.968,8
"ducttape",7.571428571,2.045,7
"eiffeltower",8.75,1.6335,7
"exitsign",6,2.756,8
"filingcabinet",8.892857143,2.303,12
"firehydrant",5.3585,1.681,10
"fishingpole",6.179089,2.597,8
"fishingrod",7.639098,2.425,8
"fishtank",5.944635,2.829,7
"footballhelmet",5.5,2.483,12
"fortunecookie",6.357142857,2.652,10
"fountainpen",7.32,2.377,8
"fryingpan",6.807852,2.086,8
"golfball",5.25,2.782,7
"granolabar",6,1.3979,10
"guitarcase",6.821428571,2.534,8
"hairclip",6.714285714,2.348,7
"hockeypuck",6.642857143,1.756,7
"hockeystick",6.321428571,2.387,8
"icecreamcone",3.321428571,2.061,9
"ipad",4,2.516,4
"ironingboard",6.584055,1.785,9
"jumprope",5.795437,2.816,7
"leafblower",6.555555556,1.255,7
"licenseplate",6.535714286,2.967,9
"lightswitch",5.944635,3,7
"magnifyingglass",5.928571429,1.653,13
"measuringcup",5.607142857,2.041,9
"measuringtape",6.464285714,2.041,9
"cremebrulee",14,1,9
"mrpotatohead",4.107142857,2.587,14
"musicsheet",6.607142857,2.667,9
"nailclipper",4.928571429,1.613,8
"nailpolish",5.214285714,2.513,8
"noparkingsign",7.5,2.969,11
"nosmokingsign",6.821428571,2.975,11
"nunchuks",9.24,0.301,7
"paintroller",7.071428571,2.288,8
"palmtree",7.436615,2.639,7
"parkingmeter",7.285714286,2.364,10
"partyhat",3.892857143,3.238,8
"pencilcase",5.321428571,2.593,8
"pencilsharpener",5.305215,1.255,12
"pictureframe",5.107142857,2.723,9
"pingpongtable",6.857142857,1.544,10
"pirateflag",5.481481481,2.215,9
